,auth_dt,state_name,purchase_category_nm,online_part,online_regarding_avg,offline_regarding_avg,total_regarding_avg,coronaindex,day,month,year
2478546,17-09-2021,Республика Бурятия,ТОПЛИВО,0.33,,285.56,287.0,9.5,17,9,2021
2479412,19-09-2021,Республика Бурятия,КНИГИ,0.0,0.0,265.68,228.0,7.3,19,9,2021
2479456,01-09-2021,Республика Бурятия,ФАСТФУД,4.91,3469.0,491.1,513.0,10.0,1,9,2021
2479710,28-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,34.71,303.0,691.53,478.0,10.0,28,9,2021
2481230,23-09-2021,Республика Бурятия,РАЗВЛЕЧЕНИЯ,65.75,266.0,227.02,251.0,9.8,23,9,2021
2481639,23-09-2021,Республика Бурятия,ЧАСТНЫЕ УСЛУГИ,62.5,153.0,227.88,174.0,7.8,23,9,2021
2481699,19-09-2021,Республика Бурятия,МЕД. УСЛУГИ,6.67,2676.0,146.91,157.0,4.1,19,9,2021
2482071,30-09-2021,Республика Бурятия,ТУРАГЕНТСТВА,64.94,493.0,137.53,259.0,8.6,30,9,2021
2483232,10-09-2021,Республика Бурятия,ГОС. СБОРЫ,61.29,289.0,388.33,320.0,10.0,10,9,2021
2483233,14-09-2021,Республика Бурятия,ТРАНСПОРТ,34.0,304.0,409.91,367.0,10.0,14,9,2021
2484791,04-09-2021,Республика Бурятия,КИНО,14.29,1570.0,245.26,279.0,6.0,4,9,2021
2489710,07-09-2021,Республика Бурятия,СУВЕНИРЫ,0.0,0.0,216.6,206.0,3.8,7,9,2021
2490245,01-09-2021,Республика Бурятия,АПТЕКИ,0.0,0.0,272.68,272.0,9.8,1,9,2021
2491367,29-09-2021,Республика Бурятия,ТОПЛИВО,0.35,,271.25,272.0,8.6,29,9,2021
2492455,19-09-2021,Республика Бурятия,"ОДЕЖДА, ОБУВЬ",8.84,630.0,242.2,256.0,7.6,19,9,2021
2493419,10-09-2021,Республика Бурятия,ФАСТФУД,4.1,2446.0,418.5,433.0,10.0,10,9,2021
2493928,21-09-2021,Республика Бурятия,АРЕНДА АВТО,50.0,210.0,121.9,154.0,6.3,21,9,2021
2494310,11-09-2021,Республика Бурятия,МУЗЫКА,0.0,0.0,156.91,81.0,3.7,11,9,2021
2494567,17-09-2021,Республика Бурятия,"СВЯЗЬ, ТЕЛЕКОМ",34.09,186.0,155.48,165.0,10.0,17,9,2021
2494570,23-09-2021,Республика Бурятия,НКО,57.14,108.0,46.93,69.0,3.1,23,9,2021
2494829,18-09-2021,Республика Бурятия,ГОС. СБОРЫ,42.86,90.0,256.36,143.0,8.4,18,9,2021
2495474,08-09-2021,Республика Бурятия,СУВЕНИРЫ,0.0,0.0,216.21,205.0,5.2,8,9,2021
2496871,28-09-2021,Республика Бурятия,АВТО УСЛУГИ,5.05,359.0,358.93,359.0,8.8,28,9,2021
